ID;Nom;Année de sortie;Classification;Durée (min);Genre1;Genre2;Genre3
753;Jeu dangereux;1942;Tous publics;99;Comedy; Romance; War
754;Sherlock Junior;1924;Tous publics;45;Action; Comedy; Romance
755;Mademoiselle;2016;12 avec avertissement;145;Drama; Romance; Thriller
756;Before Sunrise;1995;Tous publics;101;Drama; Romance;
757;La mélodie du bonheur;1965;Tous publics;172;Biography; Drama; Family
758;In the Mood for Love;2000;Tous publics;98;Drama; Romance;
759;Before Sunset;2004;Tous publics;80;Drama; Romance;
760;Rebecca;1940;Tous publics;130;Drama; Film-Noir; Mystery
761;Trois couleurs: Rouge;1994;Tous publics;99;Drama; Mystery; Romance
762;New York - Miami;1934;Tous publics;105;Comedy; Romance;
763;Les Plus Belles Années de notre vie;1946;Tous publics;170;Drama; Romance; War
764;Une femme sous influence;1974;Tous publics;155;Drama; Romance;
765;Les fraises sauvages;1957;Tous publics;91;Drama; Romance;
766;Les chaussons rouges;1948;Tous publics;135;Drama; Music; Romance
767;Adieu, ma concubine;1993;Tous publics;171;Drama; Music; Romance
768;Yi yi;2000;Tous publics;173;Drama; Romance;
769;Barfi!;2012;;151;Comedy; Drama; Romance
770;Dil Chahta Hai;2001;Tous publics;183;Comedy; Drama; Romance
771;La ruée vers l'or;1925;Tous publics;95;Adventure; Comedy; Drama
772;L'aurore;1927;Tous publics;94;Drama; Romance;
773;Épouses et concubines;1991;Tous publics;125;Drama; Romance;
774;Le cirque;1928;Tous publics;72;Comedy; Family; Romance
775;Princess Bride;1987;Tous publics;98;Adventure; Comedy; Family
