ID;Nom;Année de sortie;Classification;Durée (min);Note;Nombre de votant;Revenus;Genre1;Genre2;Genre3
381;Zootopie;2016;Tous publics;108;8,0;515 017;$341.27M;Animation; Adventure; Comedy
382;Aladdin;1992;Tous publics;90;8,0;435 318;$217.35M;Animation; Adventure; Comedy
383;Soul;2020;6;100;8,0;;;Animation; Adventure; Comedy
384;La Belle et la Bête;1991;Tous publics;84;8,0;463 590;$218.97M;Animation; Family; Fantasy
385;Le peuple loup;2020;Tous publics;103;8,0;;;Animation; Action; Adventure
386;Un violon sur le toit;1971;Tous publics;181;8,0;45 334;$80.50M;Drama; Family; Musical
387;Le Château dans le ciel;1986;Tous publics;125;8,0;;;Animation; Adventure; Family
388;Le chant de la mer;2014;Tous publics;93;8,0;60 474;$0.86M;Animation; Adventure; Drama
389;Le conte de la princesse Kaguya;2013;Tous publics;137;8,0;49 525;$1.51M;Animation; Drama; Family
390;Le Chat potté 2 : La Dernière Quête;2022;Tous publics;102;7,9;126 780;$168.46M;Animation; Adventure; Comedy
391;Wonder;2017;Tous publics;113;7,9;170 063;$132.42M;Drama; Family;
392;Harry Potter et le Prisonnier d'Azkaban;2004;Tous publics;142;7,9;654 078;$249.36M;Adventure; Family; Fantasy
393;Fantastic Mr. Fox;2009;Tous publics;87;7,9;244 378;$21.00M;Animation; Adventure; Comedy
394;Shrek;2001;Tous publics;90;7,9;698 217;$267.67M;Animation; Adventure; Comedy
395;E.T. l'extra-terrestre;1982;Tous publics;115;7,9;420 121;$435.11M;Adventure; Family; Sci-Fi
396;Les dix commandements;1956;Tous publics;220;7,9;74 253;$93.74M;Adventure; Drama; Family
397;Toy Story 2;1999;Tous publics;92;7,9;594 433;$245.85M;Animation; Adventure; Comedy
398;L'étrange Noël de monsieur Jack;1993;Tous publics;76;7,9;351 048;$75.08M;Animation; Family; Fantasy
399;Togo;2019;Tous publics;113;7,9;;;Adventure; Biography; Drama
400;Le Seigneur des anneaux : Le Retour du roi;2003;Tous publics avec avertissement;201;9,0;1 883 515;$377.85M;Action; Adventure; Drama
401;Le Seigneur des anneaux : La Communauté de l'anneau;2001;Tous publics;178;8,8;1 912 302;$315.54M;Action; Adventure; Drama
402;Le Seigneur des anneaux : Les Deux Tours;2002;Tous publics avec avertissement;179;8,8;1 700 210;$342.55M;Action; Adventure; Drama
403;L'Empire contre-attaque;1980;Tous publics;124;8,7;1 318 505;$290.48M;Action; Adventure; Fantasy
404;La ligne verte;1999;12;189;8,6;1 332 120;$136.80M;Crime; Drama; Fantasy
405;Star Wars: Épisode IV - Un nouvel espoir;1977;Tous publics;121;8,6;1 391 036;$322.74M;Action; Adventure; Fantasy
